Turtle ID,Observation Date,Observation Town
ST2013-367,31-Dec-13,Brewster
ST2013-368,31-Dec-13,Dennis
ST2013-369,24-Dec-13,Eastham
ST2013-364,22-Dec-13,Provincetown
ST2013-363,21-Dec-13,Wellfleet
ST2013-365,21-Dec-13,Eastham
ST2013-366,21-Dec-13,Eastham
ST2013-339,18-Dec-13,Eastham
ST2013-362,17-Dec-13,Brewster
ST2013-360,16-Dec-13,Dennis
ST2013-357,15-Dec-13,Dennis
ST2013-358,15-Dec-13,Dennis
ST2013-359,15-Dec-13,Eastham
ST2013-356,14-Dec-13,Eastham
ST2013-351,13-Dec-13,Brewster
ST2013-352,13-Dec-13,Brewster
ST2013-353,13-Dec-13,Dennis
ST2013-354,13-Dec-13,Dennis
ST2013-355,13-Dec-13,Dennis
ST2013-345,12-Dec-13,Brewster
ST2013-346,12-Dec-13,Truro
ST2013-347,12-Dec-13,Wellfleet
ST2013-348,12-Dec-13,Wellfleet
ST2013-349,12-Dec-13,Dennis
ST2013-350,12-Dec-13,Eastham
ST2013-341,11-Dec-13,Wellfleet
ST2013-342,11-Dec-13,Brewster
ST2013-343,11-Dec-13,Brewster
ST2013-344,11-Dec-13,Wellfleet
ST2013-340,10-Dec-13,Dennis
ST2013-338,9-Dec-13,Dennis
ST2013-330,8-Dec-13,Brewster
ST2013-331,8-Dec-13,Brewster
ST2013-332,8-Dec-13,Brewster
ST2013-333,8-Dec-13,Dennis
ST2013-334,8-Dec-13,Dennis
ST2013-335,8-Dec-13,Brewster
ST2013-336,8-Dec-13,Dennis
ST2013-337,8-Dec-13,Wellfleet
ST2013-329,7-Dec-13,Brewster
ST2013-328,6-Dec-13,Provincetown
ST2013-323,5-Dec-13,Barnstable
ST2013-326,5-Dec-13,Brewster
ST2013-327,5-Dec-13,Wellfleet
ST2013-320,4-Dec-13,Dennis
ST2013-321,4-Dec-13,Dennis
ST2013-322,4-Dec-13,Barnstable
ST2013-324,4-Dec-13,Truro
ST2013-325,4-Dec-13,Dennis
ST2013-315,3-Dec-13,Brewster
ST2013-316,3-Dec-13,Dennis
ST2013-317,3-Dec-13,Eastham
ST2013-318,3-Dec-13,Dennis
ST2013-319,3-Dec-13,Dennis
ST2013-314,2-Dec-13,Wellfleet
ST2013-309,1-Dec-13,Eastham
ST2013-310,1-Dec-13,Eastham
ST2013-312,1-Dec-13,Wellfleet
ST2013-313,1-Dec-13,Truro
ST2013-300,30-Nov-13,Eastham
ST2013-301,30-Nov-13,Eastham
ST2013-302,30-Nov-13,Truro
ST2013-303,30-Nov-13,Brewster
ST2013-304,30-Nov-13,Dennis
ST2013-305,30-Nov-13,Dennis
ST2013-306,30-Nov-13,Brewster
ST2013-307,30-Nov-13,Eastham
ST2013-291,29-Nov-13,Dennis
ST2013-292,29-Nov-13,Dennis
ST2013-293,29-Nov-13,Wellfleet
ST2013-294,29-Nov-13,Wellfleet
ST2013-295,29-Nov-13,Dennis
ST2013-296,29-Nov-13,Orleans
ST2013-297,29-Nov-13,Dennis
ST2013-298,29-Nov-13,Truro
ST2013-299,29-Nov-13,Truro
ST2013-311,29-Nov-13,Orleans
ST2013-280,28-Nov-13,Wellfleet
ST2013-281,28-Nov-13,Eastham
ST2013-283,28-Nov-13,Truro
ST2013-284,28-Nov-13,Truro
ST2013-285,28-Nov-13,Truro
ST2013-286,28-Nov-13,Truro
ST2013-287,28-Nov-13,Truro
ST2013-288,28-Nov-13,Truro
ST2013-289,28-Nov-13,Truro
ST2013-290,28-Nov-13,Provincetown
ST2013-275,26-Nov-13,Eastham
ST2013-277,26-Nov-13,Truro
ST2013-278,26-Nov-13,Eastham
ST2013-279,26-Nov-13,Wellfleet
ST2013-266,25-Nov-13,Brewster
ST2013-267,25-Nov-13,Brewster
ST2013-268,25-Nov-13,Brewster
ST2013-269,25-Nov-13,Dennis
ST2013-270,25-Nov-13,Brewster
ST2013-271,25-Nov-13,Brewster
ST2013-272,25-Nov-13,Dennis
ST2013-273,25-Nov-13,Wellfleet
ST2013-274,25-Nov-13,Chappaquiddick
ST2013-276,25-Nov-13,Dennis
ST2013-238,24-Nov-13,Wellfleet
ST2013-239,24-Nov-13,Eastham
ST2013-240,24-Nov-13,Eastham
ST2013-241,24-Nov-13,Orleans
ST2013-242,24-Nov-13,Orleans
ST2013-243,24-Nov-13,Brewster
ST2013-244,24-Nov-13,Brewster
ST2013-245,24-Nov-13,Brewster
ST2013-246,24-Nov-13,Eastham
ST2013-247,24-Nov-13,Brewster
ST2013-248,24-Nov-13,Orleans
ST2013-250,24-Nov-13,Brewster
ST2013-251,24-Nov-13,Brewster
ST2013-252,24-Nov-13,Orleans
ST2013-253,24-Nov-13,Brewster
ST2013-254,24-Nov-13,Brewster
ST2013-255,24-Nov-13,Brewster
ST2013-256,24-Nov-13,Brewster
ST2013-257,24-Nov-13,Orleans
ST2013-258,24-Nov-13,Brewster
ST2013-259,24-Nov-13,Eastham
ST2013-260,24-Nov-13,Brewster
ST2013-261,24-Nov-13,Brewster
ST2013-262,24-Nov-13,Orleans
ST2013-263,24-Nov-13,Orleans
ST2013-264,24-Nov-13,Eastham
ST2013-265,24-Nov-13,Brewster
ST2013-229,23-Nov-13,Eastham
ST2013-230,23-Nov-13,Brewster
ST2013-231,23-Nov-13,Eastham
ST2013-232,23-Nov-13,Truro
ST2013-233,23-Nov-13,Orleans
ST2013-234,23-Nov-13,Truro
ST2013-235,23-Nov-13,Truro
ST2013-236,23-Nov-13,Wellfleet
ST2013-237,23-Nov-13,Wellfleet
ST2013-223,21-Nov-13,Brewster
ST2013-224,21-Nov-13,Brewster
ST2013-225,21-Nov-13,Dennis
ST2013-226,21-Nov-13,Dennis
ST2013-227,21-Nov-13,Dennis
ST2013-228,21-Nov-13,Brewster
ST2013-214,20-Nov-13,Brewster
ST2013-215,20-Nov-13,Brewster
ST2013-217,20-Nov-13,Wellfleet
ST2013-218,20-Nov-13,Brewster
ST2013-219,20-Nov-13,Brewster
ST2013-220,20-Nov-13,Brewster
ST2013-221,20-Nov-13,Brewster
ST2013-222,20-Nov-13,Dennis
ST2013-212,19-Nov-13,Wellfleet
ST2013-213,19-Nov-13,Truro
ST2013-207,16-Nov-13,Wellfleet
ST2013-207,16-Nov-13,Wellfleet
ST2013-208,16-Nov-13,Truro
ST2013-209,16-Nov-13,Wellfleet
ST2013-210,16-Nov-13,Wellfleet
ST2013-211,16-Nov-13,Wellfleet
ST2013-202,15-Nov-13,Eastham
ST2013-203,15-Nov-13,Truro
ST2013-205,15-Nov-13,Truro
ST2013-206,15-Nov-13,Wellfleet
ST2013-206,15-Nov-13,Wellfleet
ST2013-196,14-Nov-13,Eastham
ST2013-197,14-Nov-13,Eastham
ST2013-198,14-Nov-13,Orleans
ST2013-199,14-Nov-13,Eastham
ST2013-200,14-Nov-13,Eastham
ST2013-200,14-Nov-13,Eastham
ST2013-201,14-Nov-13,Eastham
ST2013-201,14-Nov-13,Eastham
ST2013-179,13-Nov-13,Brewster
ST2013-181,13-Nov-13,Brewster
ST2013-182,13-Nov-13,Brewster
ST2013-183,13-Nov-13,Brewster
ST2013-184,13-Nov-13,Brewster
ST2013-185,13-Nov-13,Brewster
ST2013-186,13-Nov-13,Brewster
ST2013-187,13-Nov-13,Brewster
ST2013-188,13-Nov-13,Brewster
ST2013-189,13-Nov-13,Brewster
ST2013-190,13-Nov-13,Brewster
ST2013-191,13-Nov-13,Eastham
ST2013-193,13-Nov-13,Brewster
ST2013-194,13-Nov-13,Brewster
ST2013-195,13-Nov-13,Brewster
ST2013-178,12-Nov-13,Orleans
ST2013-180,12-Nov-13,Brewster
ST2013-175,11-Nov-13,Orleans
ST2013-176,11-Nov-13,Eastham
ST2013-177,11-Nov-13,Truro
ST2013-174,9-Nov-13,Orleans
ST2013-172,4-Nov-13,Brewster
ST2013-192,1-Nov-13,Brewster
