Turtle ID,Observation Date,Observation Time,Given Lat,Given Lon,Observation Town
ST2014-1000,23-Nov-14,,,,Truro
ST2014-1001,23-Nov-14,,,,Truro
ST2014-1002,23-Nov-14,,,,Truro
ST2014-1003,23-Nov-14,,,,Truro
ST2014-1004,23-Nov-14,,,,Truro
st2014-1005,23-Nov-14,,,,Truro
st2014-1006,23-Nov-14,,,,Truro
ST2014-1007,23-Nov-14,,,,Truro
st2014-1008,23-Nov-14,,,,Truro
st2014-1009,23-Nov-14,,,,Truro
ST2014-1010,23-Nov-14,,,,Truro
st2014-1011,23-Nov-14,,,,Truro
ST2014-1012,23-Nov-14,,,,Truro
st2014-1013,23-Nov-14,,,,Truro
st2014-1014,23-Nov-14,,,,Truro
st2014-1015,23-Nov-14,,,,Truro
st2014-1016,23-Nov-14,,,,Truro
ST2014-1017,23-Nov-14,,,,Truro
st2014-1018,23-Nov-14,,,,Truro
st2014-1019,23-Nov-14,,,,Truro
st2014-1020,23-Nov-14,,,,Truro
ST2014-1021,23-Nov-14,,,,Truro
st2014-1022,23-Nov-14,,,,Truro
st2014-1023,23-Nov-14,,,,Truro
st2014-1024,23-Nov-14,,,,Eastham
ST2014-1025,23-Nov-14,,,,Truro
ST2014-1026,23-Nov-14,,,,Truro
st2014-1027,23-Nov-14,,,,Eastham
ST2014-1028,23-Nov-14,,,,Eastham
st2014-1029,23-Nov-14,,,,Truro
ST2014-1030,23-Nov-14,9:00,,,Truro
ST2014-1031,23-Nov-14,,,,Eastham
ST2014-1035,23-Nov-14,11:30,,,Orleans
ST2014-1036,23-Nov-14,,,,Orleans
ST2014-1037,23-Nov-14,,,,Eastham
ST2014-1038,23-Nov-14,,,,Wellfleet
ST2014-1039,23-Nov-14,10:30,,,Eastham
ST2014-1040,23-Nov-14,,,,Chatham
ST2014-1041,23-Nov-14,12:30,,,Eastham
ST2014-1042,23-Nov-14,,,,Eastham
ST2014-1043,23-Nov-14,,,,Eastham
ST2014-1044,23-Nov-14,,,,Truro
ST2014-1045,23-Nov-14,13:00,,,Brewster
ST2014-1046,23-Nov-14,,,,Wellfleet
ST2014-1047,23-Nov-14,,,,Wellfleet
ST2014-1048,23-Nov-14,,,,Wellfleet
ST2014-1049,23-Nov-14,14:40,,,Eastham
ST2014-1050,23-Nov-14,,,,Truro
ST2014-1051,23-Nov-14,,,,Truro
ST2014-1052,23-Nov-14,,,,Truro
ST2014-1053,23-Nov-14,,,,Truro
ST2014-1054,23-Nov-14,,,,Truro
ST2014-1055,23-Nov-14,,,,Truro
ST2014-1056,23-Nov-14,,,,Truro
ST2014-1057,23-Nov-14,,,,Truro
ST2014-1058,23-Nov-14,,,,Truro
ST2014-1059,23-Nov-14,,,,Truro
ST2014-1060,23-Nov-14,,,,Truro
ST2014-1061,23-Nov-14,,,,Truro
ST2014-1062,23-Nov-14,,,,Truro
ST2014-1063,23-Nov-14,,,,Provincetown
ST2014-1064,23-Nov-14,,,,Truro
ST2014-1065,23-Nov-14,,,,Truro
ST2014-1066,23-Nov-14,12:00,,,Truro
ST2014-1067,23-Nov-14,,,,Truro
ST2014-1068,23-Nov-14,,,,Truro
ST2014-1069,23-Nov-14,,,,Truro
ST2014-1070,23-Nov-14,,,,Truro
ST2014-1071,23-Nov-14,,,,Truro
ST2014-1072,23-Nov-14,,,,Truro
ST2014-1073,23-Nov-14,,,,Truro
ST2014-1074,23-Nov-14,,,,Truro
ST2014-1075,23-Nov-14,,,,Truro
ST2014-1076,23-Nov-14,,,,Truro
ST2014-1077,23-Nov-14,,,,Truro
ST2014-1078,23-Nov-14,,,,Truro
ST2014-1079,23-Nov-14,,,,Truro
ST2014-1080,23-Nov-14,,,,Truro
ST2014-1081,23-Nov-14,,,,West Falmouth
ST2014-1082,23-Nov-14,,,,Bourne
ST2014-1083,23-Nov-14,,,,Truro
ST2014-1084,23-Nov-14,,,,Truro
ST2014-1085,23-Nov-14,,,,Truro
ST2014-1086,23-Nov-14,15:30,,,Truro
ST2014-1087,23-Nov-14,16:50,,,Orleans
ST2014-1088,23-Nov-14,,,,Wellfleet
ST2014-1089,23-Nov-14,,,,Wellfleet
ST2014-1090,23-Nov-14,,,,Wellfleet
ST2014-1091,23-Nov-14,,,,Wellfleet
